"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\Blessan Corley\My Projects\Fixly old\AUTH_CLEANUP_REPORT.md", "Markdown", 0, 0, 137, 0, 0, 0, 56, 193
"c:\Users\Blessan Corley\My Projects\Fixly old\AUTH_IMPLEMENTATION_REPORT.md", "Markdown", 0, 0, 261, 0, 0, 0, 68, 329
"c:\Users\Blessan Corley\My Projects\Fixly old\AUTH_UX_FIXES_REPORT.md", "Markdown", 0, 0, 215, 0, 0, 0, 53, 268
"c:\Users\Blessan Corley\My Projects\Fixly old\CLAUDE.md", "Markdown", 0, 0, 308, 0, 0, 0, 68, 376
"c:\Users\Blessan Corley\My Projects\Fixly old\LOCATION_SYSTEM_ENHANCEMENT_REPORT.md", "Markdown", 0, 0, 248, 0, 0, 0, 73, 321
"c:\Users\Blessan Corley\My Projects\Fixly old\LOCATION_SYSTEM_IMPLEMENTATION.md", "Markdown", 0, 0, 199, 0, 0, 0, 53, 252
"c:\Users\Blessan Corley\My Projects\Fixly old\MESSAGING_SYSTEM_SUMMARY.md", "Markdown", 0, 0, 167, 0, 0, 0, 51, 218
"c:\Users\Blessan Corley\My Projects\Fixly old\OPTIMIZATION_SUMMARY.md", "Markdown", 0, 0, 135, 0, 0, 0, 44, 179
"c:\Users\Blessan Corley\My Projects\Fixly old\PRODUCTION_READINESS_REPORT.md", "Markdown", 0, 0, 193, 0, 0, 0, 50, 243
"c:\Users\Blessan Corley\My Projects\Fixly old\README.md", "Markdown", 0, 0, 70, 0, 0, 0, 24, 94
"c:\Users\Blessan Corley\My Projects\Fixly old\REALTIME_SYSTEM.md", "Markdown", 0, 0, 212, 0, 0, 0, 56, 268
"c:\Users\Blessan Corley\My Projects\Fixly old\REDIS_SOCKET_INTEGRATION_FIX.md", "Markdown", 0, 0, 224, 0, 0, 0, 75, 299
"c:\Users\Blessan Corley\My Projects\Fixly old\REVIEW_SYSTEM_DOCUMENTATION.md", "Markdown", 0, 0, 329, 0, 0, 0, 88, 417
"c:\Users\Blessan Corley\My Projects\Fixly old\SETUP_GUIDE.md", "Markdown", 0, 0, 223, 0, 0, 0, 68, 291
"c:\Users\Blessan Corley\My Projects\Fixly old\SKILLS_CONSOLIDATION_REPORT.md", "Markdown", 0, 0, 170, 0, 0, 0, 43, 213
"c:\Users\Blessan Corley\My Projects\Fixly old\app\about\page.js", "JavaScript", 0, 436, 0, 0, 0, 1, 24, 461
"c:\Users\Blessan Corley\My Projects\Fixly old\app\admin\page.js", "JavaScript", 0, 35, 0, 0, 0, 4, 5, 44
"c:\Users\Blessan Corley\My Projects\Fixly old\app\admin\setup\page.js", "JavaScript", 0, 197, 0, 0, 0, 1, 18, 216
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\dashboard\route.js", "JavaScript", 0, 140, 0, 0, 0, 15, 24, 179
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\jobs\route.js", "JavaScript", 0, 217, 0, 0, 0, 14, 29, 260
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\setup\route.js", "JavaScript", 0, 83, 0, 0, 0, 7, 14, 104
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\stats\route.js", "JavaScript", 0, 76, 0, 0, 0, 7, 13, 96
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\users\[userId]\[action]\route.js", "JavaScript", 0, 129, 0, 0, 0, 10, 22, 161
"c:\Users\Blessan Corley\My Projects\Fixly old\app\api\admin\users\route.js", "JavaScript", 0, 206, 0, 0, 0, 13, 28, 247
